0.0839 ,  -21.0
0.1749 ,  -21.0
0.2659 ,  -21.0
0.3711 ,  -18.0
0.4705 ,  -21.0
0.5596 ,  -20.0
0.6441 ,  -21.0
0.7431 ,  -19.0
0.8459 ,  -21.0
0.9292 ,  -21.0
1.0159 ,  -21.0
1.1302 ,  -18.0
1.2702 ,  -18.0
1.3734 ,  -21.0
1.4904 ,  -20.0
1.6357 ,  -16.0
1.7766 ,  -18.0
1.9202 ,  -19.0
2.066 ,  -18.0
2.1923 ,  -20.0
2.3594 ,  -17.0
2.5108 ,  -19.0
2.6189 ,  -20.0
2.734 ,  -18.0
2.8546 ,  -20.0
2.9898 ,  -19.0
3.131 ,  -21.0
3.2382 ,  -21.0
3.3786 ,  -17.0
3.5462 ,  -19.0
3.7233 ,  -16.0
3.8984 ,  -14.0
4.0738 ,  -15.0
4.2284 ,  -17.0
4.3905 ,  -14.0
4.559 ,  -17.0
4.7236 ,  -19.0
4.8652 ,  -16.0
5.0327 ,  -16.0
5.2369 ,  -16.0
5.4371 ,  -10.0
5.6164 ,  -18.0
5.7973 ,  -16.0
5.9342 ,  -18.0
6.0989 ,  -14.0
6.2384 ,  -16.0
6.4063 ,  -17.0
6.6547 ,  -8.0
6.8834 ,  -9.0
7.0936 ,  -13.0
7.2594 ,  -17.0
7.4404 ,  -12.0
7.679 ,  -8.0
7.8338 ,  -15.0
8.01 ,  -14.0
8.2764 ,  -8.0
8.4878 ,  -12.0
8.7344 ,  -9.0
9.0244 ,  -6.0
9.1841 ,  -17.0
9.4473 ,  -8.0
9.6188 ,  -16.0
9.8313 ,  -12.0
9.9283 ,  -20.0
10.1624 ,  -8.0
10.4361 ,  -3.0
10.6754 ,  -8.0
10.8609 ,  -16.0
11.1136 ,  -6.0
11.3368 ,  -10.0
11.5762 ,  -6.0
11.8046 ,  -14.0
12.0316 ,  -10.0
12.2567 ,  -11.0
12.5209 ,  -7.0
12.7488 ,  -8.0
12.9777 ,  -9.0
13.2267 ,  -9.0
13.4638 ,  -8.0
13.6921 ,  -9.0
13.8955 ,  -13.0
14.1468 ,  -7.0
14.4342 ,  -2.0
14.661 ,  -10.0
14.8518 ,  -13.0
15.0888 ,  -13.0
15.3561 ,  -8.0
15.571 ,  -12.0
15.7854 ,  -12.0
15.9336 ,  -16.0
16.1112 ,  -12.0
16.3399 ,  -8.0
16.5462 ,  -12.0
16.7858 ,  -8.0
17.0077 ,  -8.0
17.2661 ,  -7.0
17.4894 ,  -13.0
17.7511 ,  -10.0
18.0313 ,  -7.0
18.2481 ,  -12.0
18.4541 ,  -12.0
18.6584 ,  -15.0
18.8838 ,  -13.0
19.0347 ,  -15.0
19.2881 ,  -9.0
19.561 ,  -10.0
19.8339 ,  -7.0
20.0444 ,  -12.0
20.1516 ,  -20.0
20.3233 ,  -16.0
20.6091 ,  -7.0
20.9895 ,  -2.0
21.1828 ,  -15.0
21.3308 ,  -19.0
21.5789 ,  -11.0
21.851 ,  -10.0
22.0525 ,  -15.0
22.3024 ,  -13.0
22.4634 ,  -16.0
22.7482 ,  -8.0
22.9532 ,  -11.0
23.2374 ,  -11.0
23.578 ,  -3.0
23.7566 ,  -12.0
23.9893 ,  -9.0
24.2521 ,  -8.0
24.4865 ,  -11.0
24.6869 ,  -14.0
24.9646 ,  -7.0
25.1975 ,  -11.0
25.5318 ,  -1.0
25.7577 ,  -12.0
25.9664 ,  -11.0
26.2002 ,  -10.0
